Country Name,2011,2012,2013,2014,2015
Lithuania,-2.258463899,-1.341201988,-1.012007368,-0.859827343,-0.7588483
Luxembourg,2.222660503,2.4015419,2.311176253,2.356978705,2.372590743
"Macao SAR, China",2.229984352,2.0066860440000003,1.8285864440000001,1.720506326,1.66315866
"Macedonia, FYR",0.166895571,0.163572988,0.158046763,0.148595745,0.136155385
Madagascar,2.803539277,2.79671094,2.790366962,2.783869737,2.776657016
Malawi,3.047170654,3.06305957,3.071306757,3.072287728,3.06701458
Malaysia,1.599788019,1.559092963,1.5163647690000002,1.4709524109999998,1.4245255140000002
Maldives,2.6883339389999996,2.099814684,2.0566277580000003,2.0151815440000003,2.015218235
Mali,3.063427622,2.980985575,2.934149407,2.933420467,2.96208132
Malta,0.423700885,0.7626965990000001,0.9299699570000001,0.938015995,0.924430449
Marshall Islands,0.215301744,0.23193044899999998,0.233288236,0.211952693,0.17942983899999998
Mauritania,2.5245542469999998,2.516014143,2.500002419,2.472382509,2.437266267
Mauritius,0.160140421,0.277321026,0.22039869199999998,0.18106146899999997,0.132433083
Mexico,1.462665986,1.407149514,1.358093141,1.321217635,1.292705197
"Micronesia, Fed. Sts.",-0.138100894,0.038648837000000005,0.194948767,0.313820879,0.399033642
Moldova,-0.057820587,-0.01311889,-0.026776865,-0.060970101,-0.063201891
Monaco,0.9293094409999999,0.576463195,0.330967045,0.25282444800000003,0.286647222
Mongolia,1.696651881,1.769808918,1.793956656,1.7575978369999998,1.6787907659999999
Montenegro,0.10504177199999999,0.084147408,0.09759963699999999,0.09702201099999999,0.09291126400000001
Morocco,1.312602228,1.380524206,1.410372655,1.390819379,1.3362324490000002
Mozambique,2.819347107,2.821898103,2.8134057919999997,2.790970183,2.7598413639999997
Myanmar,0.755643793,0.799532281,0.8338866,0.85196116,0.857130965
Namibia,2.098410617,2.272216201,2.3694162519999997,2.369479939,2.302676484
Nauru,0.17939012199999999,0.357817696,0.455356162,0.502439361,0.451025375
Nepal,1.122298988,1.175139555,1.208880727,1.213172492,1.1959409570000001
Netherlands,0.46642878200000004,0.370055035,0.294820793,0.359828173,0.423129432
New Caledonia,1.5873349159999999,1.949379468,1.5325970480000002,1.8832948330000001,1.8484814669999998
New Zealand,0.762479795,0.548220797,0.768347998,1.510339485,1.889045125
Nicaragua,1.213733585,1.185260958,1.16069741,1.141643124,1.126323245
Niger,3.93868617,3.986946865,4.018254883,4.029436517,4.026868931
Nigeria,2.689511557,2.692683733,2.6836509509999997,2.6604873330000003,2.628044353
Northern Mariana Islands,-1.169079743,0.150167089,1.0356212470000001,1.23975391,0.965239086
Norway,1.2971893909999999,1.313440989,1.2091415890000001,1.1277366770000001,1.1359481679999999
Oman,8.658861205,9.932044759,9.715497284,8.08855916,5.834030072999999
Pakistan,2.1098175059999997,2.1208473690000003,2.1197414180000003,2.103437242,2.075426376
Palau,0.662189585,0.725306598,0.78224754,0.847301337,0.9153597929999999
Panama,1.68365843,1.664034174,1.640475475,1.6121877340000001,1.5803473730000002
Papua New Guinea,2.21914588,2.171568012,2.12946144,2.094693178,2.06524682
Paraguay,1.341805404,1.347759774,1.346974638,1.334291611,1.31304732
Peru,1.306373763,1.331414618,1.339495248,1.32499896,1.294398755
Philippines,1.559517527,1.591573066,1.6058633690000002,1.5932532480000001,1.5620012890000001
Poland,0.053769709000000006,-0.00023907599999999999,-0.060360017,-0.074846229,-0.032208399
Portugal,-0.147084879,-0.40542178799999995,-0.548815211,-0.5391904670000001,-0.505203316
Puerto Rico,-1.156458431,-1.2101241809999999,-1.145847802,-1.632787941,-1.732256005
Qatar,7.627007888,5.621744627999999,4.162166517,3.312783791,2.8721724180000003
Romania,-0.491866213,-0.445177936,-0.37132306299999995,-0.37457549799999995,-0.38544266899999996
Russian Federation,0.077967098,0.16830159100000003,0.212923595,0.217632655,0.19258583699999998
Rwanda,2.520601215,2.441626839,2.381840853,2.35027091,2.336558276
Samoa,0.7524207909999999,0.7796284859999999,0.785153167,0.761315436,0.718308449
San Marino,0.804833318,0.7535054170000001,0.7000971640000001,0.64776526,0.586974672
Sao Tome and Principe,2.179951227,2.173789331,2.162635896,2.1458374719999997,2.1249266419999997
